Ismael Araujo Jr.
Italia Coppola
Italo Di Pinto
Ivan Skoric
Ivan Vasilev
Ivana Primorac
Ivonne Coll
Ivor Middleton
J. R. R. Tolkien
J.K. Rowling
J.R. Horne
J.T. Pontino
Jack Arrow
Jack Bowden
Jack Carpenter
Jack Crowells
Jack English
Jack Flemming
Jack Gleeson
Jack Kirby
Jack Powell
Jack Ridout
Jack Robinson
Jackie Short
Jackson De Govia
Jackson Yu
Jacob Lee Dean
Jacob Tomuri
Jacqueline Aronson
Jacqueline Friedberg
Jacqueline Lovell
Jacqui Allen
Jacqui Loran
Jaiden Stafford
Jaime Dawkins
Jake Jackson
Jake Myers
James C. Feng
James Caan
James Carlson
James Clemo
James Ent
James Fritch
James Gounaris
James Haygood
James Lamb
James Liggat
James M. Halty
James Marcus
James Newton Howard
James P. Whalen Sr.
James Paradis
James Perry
James Phelps
James Saito
James Schindler
James Spader
James Tomlinson
James Viera
James Whitlam
James Yeoman
Jamie Beswarick
Jamie Cho
Jamie Christopher
Jamie Daddio
Jamie Gallagher
Jamie Garside
Jamie Hallett
Jamie Miller
Jamie Selkirk
Jamie Seymour
Jamie Waylett
Jamie Wilkinson
Jamie Yeates
Jan Adair
Jan Gillan
Jan Meade
Jana Maria Gudmundsdottir
Jane Abbott
Jane Body
Jane Bulmer
Jane E. Russell
Jane Feinberg
Jane Jenkins
Jane Royle
Jane Wu
Janek Sirrs
Janet Hirshenson
Janet Paparazzo
Janie Nugent
Janine Schneider
Janis Robertson
Janos Jersch
Jared Leto
Jarl Benzon
Jason B. Stamey
Jason Bath
Jason Edwards
Jason Fitch
Jason McGuire
Jason Sanford
Jason Solberg
Jason Z. Kemp
Jaume Creus
Jawara
Jay Barry Matthews
Jay Buozzi
Jay Cannistraci
Jay Floyd
Jay Hart
Jay Hunter
Jay Maidment
Jay Rasumny
Jay Rosenwink
Jay Ross
Jay Wejebe
Jayce Attewell
Jean Ann Black
Jean Lapointe
Jean Southern
Jeanie King
Jeanne Hanna
Jeannie Epper
Jeannie Linero
Jed Brophy
Jed Gillin
Jeff 'Moose' Howery
Jeff Christian
Jeff Courtie
Jeff Cronenweth
Jeff Hephner
Jeff Imada
Jeff Olan
Jeff Olm
Jeff Passanante
Jeff Ramsey
Jeff Sawyer
Jeff Tanner
Jeff Therieau
Jeff Vacanti
Jeff Ward
Jeff Wexler
Jeff Wickline
Jeff Winkle
Jeffrey A. Johnson
Jeffrey Butterworth
Jeffrey Dreisbach
Jeffrey Ford
Jeffrey Jasper
Jeffrey Winner
Jemma Scott-Knox-Gore
Jenne Lee
Jennifer Beals
Jennifer Campbell
Jennifer Griffin
Jennifer Mizener
Jennifer Omoth
Jennifer Silver
Jennifer Spenelli
Jennifer Wollan
Jenny Basen
Jenny Inge Devaney
Jerardo Gomez
Jeremiah Grant
Jeremiah O'Driscoll
Jeremy Bennett
Jeremy Braben
Jeremy Gladen
Jeremy Irons
Jeremy King
Jeremy Latcham
Jeremy Renner
Jeremy Theobald
Jeremy Turley
Jeremy Woodhead
Jerome Holmes
Jerome Patrick Hoban
Jerrod Tan
Jess King
Jessica Amber Hurst
Jessica Bellfort
Jessica Chastain
Jessica Drake
Jessica Fasman
Jessica Goodall
Jessie Thiele
Ji Young Seo
Jill Christensen
Jill Hahn
Jim Alfonso
Jim Barr
Jim Berney
Jim Boeke
Jim Bruder
Jim Damron
Jim Davey
Jim Davidson
Jim DePue
Jim Hall
Jim Hanks
